,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,384336.9669004894,341516.6710526316,435560.94320598006,412013.8515559157
Albania,363266.2267911715,425510.6002990033,379692.4435274542,420479.04508972267
Algeria,373414.6474506579,354071.7419524618,428673.5395341098,372606.7358695652
Andorra,333094.4848434926,406672.32620689657,395747.4271710526,444132.2444444445
Angola,359416.7861083744,420952.34395424835,384110.3732773109,398919.1270994941
Antigua and Barbuda ,439085.92743718595,361115.7855960265,405588.3273141892,335215.4837335527
Armenia,351231.2609317803,361253.3051741294,392965.82259567385,434424.4661488673
Australia,379942.23242574255,346465.04939344263,452476.9661231281,394317.7769651741
Austria,350037.5484474124,371414.2003654485,397211.338817734,430885.5075
Azerbaijan,452064.65337268123,377651.5905383361,417308.0985357737,368965.0983642496
Bahrain,425671.44511475414,384219.72191986645,379713.08413907286,350434.44429054053
Bangladesh,408751.4537118644,332403.6651845637,434957.93662273476,389281.7693030794
Barbados,435875.2068367347,440230.78032840724,358505.42541533546,369088.68316225166
Belarus,354490.86300664453,398997.00415841583,421040.92329999997,428910.036318408
Belgium,377495.98359735974,357386.56388333335,439976.45378861786,395315.2189597315
Belize,388391.66483333334,436395.61575250834,336782.1617774086,391704.99815920397
Benin,361143.8875254238,405432.4319166667,376732.5756068376,429965.0959966777
Bhutan,440084.9176859504,368280.41273770493,406143.16858319606,355308.4832038835
Bosnia and Herzegovina,410520.4310815308,344839.0159344262,413144.9407082631,376019.1381122449
Botswana,358797.34033557045,380357.5180066445,405962.0386554622,421300.9094323873
Brunei,421851.4882764227,391905.4574918567,392513.1629863481,341932.6242218543
Bulgaria,426418.6351256281,382612.0536348409,427669.36329983245,372205.2046982055
Burkina Faso,357949.18214052287,355679.0383701188,438404.27779069764,412755.796118421
Burundi,416074.54805647844,327763.3287734242,431010.6150841751,384779.9124793389
Cambodia,415217.36725888326,415045.3646885246,359600.7798507463,362171.6611525974
Cameroon,421828.6852059308,352661.31009661837,433174.6431409168,360172.81203672785
Canada,392486.0813217391,347112.22485903814,444324.5051628665,371492.5844295302
Cape Verde,437780.09562601626,376618.1966722408,403504.57586440677,355400.9748032787
Central African Republic,409445.84764705884,366707.05468697124,460944.73375827813,371186.3332450331
Chad,424143.1699504132,366805.18348258705,412509.4587375415,344897.5981239531
China,404553.0080976431,438006.1024365482,344334.09056384745,406200.1604369748
Comoros,428235.9500660066,381232.13599667774,388357.047862969,337408.9946885246
Costa Rica,367953.5721767594,420944.5578369384,366127.9218425461,412254.0856026059
Cote d'Ivoire,369812.23066775245,412349.145588723,359684.6673584906,401375.0391666667
Croatia,432701.0278688525,413510.0275621891,386175.7277198697,338938.58318718383
Cuba,346210.6854651163,392669.33633663366,370610.90126279864,436183.63645
Cyprus,426540.38073333335,414451.1020294599,363052.777556719,372776.76271331054
Czech Republic,430615.8401147541,411479.5236513158,382583.94208681135,339984.8978104575
Democratic Republic of the Congo,394121.84617200674,433385.8070016751,353670.0011908646,403578.1743645485
Denmark,453022.30807881773,410241.1933169935,380361.2416220736,350168.123538206
Djibouti,369577.36675367045,413570.0912582782,357312.86225210084,417615.62636212626
Dominica,345640.2120568562,414188.96326194395,375835.3909816971,422718.1622166667
Dominican Republic,361514.1979806139,390091.2322742475,375324.89013513515,427492.5907903226
East Timor,420445.61491085903,348416.4242692939,443991.3228476821,401692.24759535654
Egypt,399635.70933774835,422614.4122203673,358635.10941373534,364682.65141176473
El Salvador,347116.0078559464,376806.956446281,411561.6466611842,426701.7026490066
Equatorial Guinea,378348.28790660226,435767.358125,379740.9096598639,410737.18494176376
Eritrea,347774.0192411467,388372.33409618575,381957.75656765676,429435.40225
Estonia,391153.35009900987,433450.31635313533,337783.7288410596,361771.2503084416
Ethiopia,358360.20985365857,378722.3233768352,393636.02865,438354.19456558774
