,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,231160933.54,265663050.15,201455532.11,237133827.4
Albania,235937204.74,230849530.95,247994807.73,221140931.92
Algeria,222184898.65,254062630.26,215153379.51,243131220.19
Andorra,252241970.33,201134290.77,273567181.35,226210009.48
Angola,246651836.47,237166866.87,280403891.88,221446885.1
Antigua and Barbuda ,208080970.3,227330602.49,227815324.53,258001222.77
Armenia,263109581.14000002,234355876.06,242963564.63,209107330.72
Australia,224697819.83,259314156.37,210932154.63,237045996.73
Austria,257988853.77,235675620.02,234212688.69,210540271.78
Azerbaijan,207825669.61,261146651.79999998,229533696.62,252033562.15
Bahrain,225768825.68,279153993.59,213999962.0,253961375.23
Bangladesh,219562024.31,260628564.75,210340885.51,244311354.93
Barbados,236193755.84,207286293.71,275048197.19,250142510.79
Belarus,263514523.2,247943571.89,222352584.45,223518909.94
Belgium,235810341.89000002,279643160.24,199948862.89000002,216219678.29
Belize,206036903.32,228926841.66,259763384.9,251090934.84
Benin,274535194.26,229806963.73,241313975.24,202524134.55
Bhutan,199072233.12,246408377.23,227699650.71,276486107.24
Bosnia and Herzegovina,221534115.37,259783640.21,215644416.22,233620602.22
Botswana,247874679.86,235525285.81,215609314.96,211250024.11
Brunei,197007127.16,253165326.99,237916077.54,261679832.77
Bulgaria,224739738.52,265933631.82999998,220190931.14,222000026.18
Burkina Faso,241837902.41,266931845.74,216013590.06,222537230.25
Burundi,258368314.24,249183515.57,233229850.76,210865255.58
Cambodia,208530692.5,235655441.7,222961975.63,262197868.05
Cameroon,239387827.24,261100049.57,214920298.2,229100180.28
Canada,244562509.4,258042341.86,228518286.42,218133252.95
Cape Verde,231482847.3,251985544.03,211006107.86,242640488.72
Central African Republic,223060801.10999998,260184864.73,229904690.59,262340684.44
Chad,206249214.45,236357526.27,242385367.64,256821389.07
China,200451244.19,241338960.98,244660748.62,267860221.67
Comoros,225151342.74,219202500.68,239114152.65,254120730.07
Costa Rica,230831700.81,207436828.36,257583852.07,252356482.11
Cote d'Ivoire,223172190.17,210752962.24,259140285.73,234056813.26
Croatia,244089009.33,264012709.47,209689516.59,254402076.67
Cuba,236999666.58,197837007.23,260326413.92,233716969.17
Cyprus,212717561.41,244619232.21,220742217.07,247363015.18
Czech Republic,205333184.6,232194137.76,233051788.09,247853330.88
Democratic Republic of the Congo,200280412.66,228495836.75,250907015.47,289800342.6
Denmark,226874469.97,231449595.38,248378901.26,261231717.37
Djibouti,242596916.57,206426330.66,258462957.27,230373135.01
Dominica,261362658.6,215621972.15,264373851.37,217274180.77
Dominican Republic,270125686.19,240706665.60999998,235770840.23,204724710.79
East Timor,219891834.67,257217898.76,213570536.53,252606378.79
Egypt,210858905.86,254755561.6,229928963.68,259813752.02
El Salvador,247096545.17,254470184.98,218536625.17,208330719.1
Equatorial Guinea,254439833.47,220440459.19,250974423.76,221180527.4
Eritrea,262597443.48,241557868.58,242757224.24,200101869.68
Estonia,245253436.3,211257242.9,268666637.37,251298611.11
Ethiopia,262207020.71,239132128.04,216918660.95,213697388.32
Federated States of Micronesia,201594610.05,232866661.67,231331721.71,261679408.77
Fiji,221660474.31,232055240.23,237367663.85,279490735.88
Finland,254900394.93,221608435.75,256435074.57,212692009.26
France,228444259.15,219753568.16,260377984.35,232347030.77
Gabon,241334791.8,245635259.0,237080777.11,221118682.22
Georgia,245857073.19,206971496.44,268727347.08,231463523.29
Germany,267210954.51,215897862.88,250711009.09,218967553.7
Ghana,250363533.82,259226950.45,218837287.25,220759937.09
Greece,255359691.59,240985849.05,238677171.41,202239499.89000002
Greenland,247510353.93,255970889.43,211370414.18,228667609.5
Grenada,246587238.85999998,265328169.67,211139178.4,230400737.02
Guatemala,265292812.16,248542942.66,226621847.63,204940120.9
Guinea,223666964.49,255092751.35,202418127.47,241487579.98
