,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,192640365.41,172224918.68,157061346.14,140530322.35999998
Albania,168184417.15,147432758.12,178473822.95,165295412.67
Algeria,168330659.71,179746970.79,152397418.88,150244751.9
Andorra,164967269.46,153308641.72,176645840.45,160576646.38
Angola,154483313.31,148190883.83,181220145.87,164272369.47
Antigua and Barbuda ,173516839.18,186051226.39000002,145657130.49,168061975.19
Armenia,152126831.8,150140970.8,180788438.17,164323004.54
Australia,176958537.56,171572786.68,155714142.21,139071674.48
Austria,169912225.8,139098811.14,176054554.76,167606778.89
Azerbaijan,173917406.12,191980359.49,149739146.22,148455690.42
Bahrain,155645082.6,170920478.67,144512645.76,172587778.43
Bangladesh,160367236.1,172527187.46,153462996.84,152023058.07
Barbados,146693106.32,163605670.77,166303346.91,177927095.19
Belarus,178889293.62,149167163.29,164796381.93,149506243.25
Belgium,187309855.75,187687597.53,166245036.97,143540626.88
Belize,152939435.07,154334646.16,180720237.22,183224912.03
Benin,167330770.47,149820715.57,185756870.1,170135553.72
Bhutan,166678732.27,182319987.17,138428104.46,172603620.37
Bosnia and Herzegovina,169742460.4,175415918.06,148427892.84,155694170.07
Botswana,176884278.14,141828070.63,166697162.94,146878412.91
Brunei,153301702.6,184817738.1,159405502.06,182364698.94
Bulgaria,167100037.08,180644225.97,144902759.27,160212718.41
Burkina Faso,177293437.88,160463938.34,168914201.82,143013335.67
Burundi,188645151.36,164341862.32,153517349.02,160167364.51
Cambodia,147275754.61,162186872.18,155742970.69,176491712.2
Cameroon,173117062.95,156637445.79,165575832.02,149015869.41
Canada,182083258.24,184513338.96,160380529.97,147341547.67
Cape Verde,178664538.13,172459932.24,154220585.62,152286034.42
Central African Republic,159953892.53,174147372.45,149066339.42,150155691.56
Chad,172703923.12,206145799.65,148258211.05,163309240.45
China,157390140.43,185012052.55,151323868.53,164787267.49
Comoros,153003179.6,163578251.74,149116084.57,177646123.47
Costa Rica,147819972.91,153938515.46,167891802.6,172763869.52
Cote d'Ivoire,137751965.59,171591798.15,158847656.5,184840922.04
Croatia,162051576.53,171821378.52,152336007.38,156453106.83
Cuba,143180094.74,158527711.12,171572511.65,174214033.41
Cyprus,181652500.9,195262747.5,155730062.0,163172112.52
Czech Republic,148658929.35,182788573.7,146716472.61,161061872.54
Democratic Republic of the Congo,154489279.97,155090206.91,161925418.8,175575536.22
Denmark,149711461.02,180115618.79,151310420.1,172854121.04
Djibouti,146625849.67,153124094.67,154779752.2,179349279.74
Dominica,163083603.35,148730027.14,191872130.15,177723893.27
Dominican Republic,172922552.75,144572156.99,180882050.06,160357056.77
East Timor,169268545.33,184482308.33,157311383.28,158475951.21
Egypt,164504581.6,179093335.56,151600072.57,164416739.54
El Salvador,175281541.71,147552283.32,171328301.36,155735315.63
Equatorial Guinea,146428858.64000002,150429473.53,183297408.96,170659917.07
Eritrea,178185682.87,156344784.16,196150519.48,160196618.69
Estonia,144782281.18,167278633.35,165172684.59,182745830.96
Ethiopia,169003845.95,137039833.79,164384600.19,147942964.59
Federated States of Micronesia,154446471.91,179533804.5,143276547.67,175965817.68
Fiji,165369567.57,181542719.33,135233195.22,164725211.09
Finland,142117744.61,154156606.37,172405626.83,177154808.97
France,162518645.76,139528828.21,180868782.33,162593338.48
Gabon,171573220.31,157240513.05,163102120.39000002,136606799.14
Georgia,148456232.29,153280901.66,178183300.07,180205018.33
Germany,160740613.86,137412145.9,189991167.38,179413323.45
Ghana,176491802.42,164080251.29,176362046.32999998,147271931.35
Greece,172677755.09,143527332.18,191702025.59,149391397.64000002
Greenland,176436138.65,161760954.13,152345098.02,149273825.59
Grenada,183905378.96,153893888.67,171960571.32,145475303.64000002
Guatemala,182123814.2,173815813.35,138859554.22,154044055.48
Guinea,180415735.62,165077231.08,152327023.39,148613571.45
