,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,384056.99386712094,363969.5684297521,392524.97168333334,422224.86312396696
Albania,419779.7964802631,433274.9738047138,364388.19440677966,363925.3907166667
Algeria,344336.0918677686,380098.09191666666,412528.8037878788,418968.2656134454
Andorra,402479.7565076661,444271.9607512521,350961.7241680395,397819.8488851914
Angola,370558.93553719006,429195.94944625406,351028.84106844745,423242.28568181815
Antigua and Barbuda ,420668.5946982056,356445.0239508197,410080.3166611842,373040.35507487523
Armenia,366745.40344316314,396053.16940495867,360025.9167528271,432760.06368159206
Australia,375639.23104746314,334412.3104721754,424914.84168614354,387234.93479591835
Austria,336901.94784615387,394199.7124917492,395153.84461666667,424063.63244027307
Azerbaijan,391359.8218151815,359257.39024793386,440683.694512987,421024.64285016287
Bahrain,412127.94167495857,343039.01523255813,433185.46366220736,384398.7193904448
Bangladesh,370678.1193478261,379856.96177235775,414928.64170283807,441716.95533557044
Barbados,445467.9025542571,358261.04810580204,401780.28114285716,363280.5342739274
Belarus,359999.1185024958,375016.53276771004,404300.47100840334,449748.26311643835
Belgium,343968.40947635134,397911.50361016946,387257.5715042735,438776.94443143817
Belize,436855.70317032037,405014.61958400003,400168.27701694914,348121.1710766721
Benin,385300.16019867547,427445.71927731094,323310.02449832775,406325.09666123777
Bhutan,391201.4252640545,347946.6148136143,435470.83649006626,402998.7565275459
Bosnia and Herzegovina,366468.46745033114,378474.51699173555,411287.88848993287,442677.7252224052
Botswana,368515.5080369127,445745.8275326797,350534.2986786297,406492.54996610165
Brunei,403904.2268219634,346599.9325165563,432879.50280130294,375356.87370192306
Bulgaria,353291.5363149079,355109.28174629324,423848.83998330554,402995.2758842975
Burkina Faso,356495.1865686275,424610.43120385235,373774.3022871452,433360.51481116586
Burundi,348249.4573310811,376067.3515502555,405253.9268481848,468967.9932214765
Cambodia,420232.964771987,360481.52896666666,403273.08836038964,355620.8480976431
Cameroon,341278.15387520526,364180.1143581081,418408.79041597334,411983.55105084745
Canada,335902.2898850575,392976.271,419495.75282608694,428525.97287375416
Cape Verde,382430.27908196725,329173.9840397351,431252.30286423845,398260.90236928104
Central African Republic,432025.7694657763,350731.3031570248,439783.8331658291,391320.0977011494
Chad,391511.76851666666,340165.54236666666,443007.36071074376,406730.9642026578
China,456632.7557590759,402204.82695507485,398990.3841652614,352575.70837438427
Comoros,397960.68785472977,347051.32590301003,414605.5806101695,370964.9872504092
Costa Rica,417003.8191133005,419284.90913188644,354371.74347682117,365069.5480536913
Cote d'Ivoire,407820.160675453,418226.5904111842,359866.8079799666,364791.3779541735
Croatia,396670.19102006685,339073.58971760795,458496.67404040403,387947.29076033056
Cuba,399672.2943886097,450080.7127408638,344017.51298850577,409787.83907718124
Cyprus,424135.7252380952,360226.9191355932,405565.5982544861,354941.7377114428
Czech Republic,446786.1755852843,386098.9254769737,413735.8042140468,333728.19374587457
Democratic Republic of the Congo,436305.41569331154,386413.77450252953,382005.9018616145,351636.88343234325
Denmark,451706.58457429055,386679.1980564784,398594.7383959044,362093.8504399323
Djibouti,398250.4909411765,446811.29452100844,345862.8492092257,405782.61536585365
Dominica,357621.89935430465,426276.99858552637,390487.4315960912,422883.15789473685
Dominican Republic,370318.1040333333,401205.8011655405,342305.5708067227,415252.5283579639
East Timor,388511.16039215686,349656.3578428094,429789.6890878939,414753.46784053155
Egypt,411024.3545705025,370979.6950398724,423689.1979801325,344020.51371710526
El Salvador,366462.1682615894,435646.2136672326,346851.7598679868,399585.3509166667
Equatorial Guinea,376009.2522923588,417704.2391570248,347273.89259197324,425371.0658852459
Eritrea,398344.7269712352,444261.0738032787,340679.9091666667,402336.9436738056
Estonia,449586.78259933775,396511.11166107387,419045.1773158756,343448.7840847458
Ethiopia,377679.8947651007,413564.91901360545,334829.3223076923,423367.39408867
