,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,360638.2125040917,378957.02489184693,412122.7321775544,447168.4771895425
Albania,420055.61411861615,416003.9608040201,382321.78530679934,344860.5325932203
Algeria,339914.48941956885,416528.72857385396,390143.2717142857,447361.0910327868
Andorra,424346.73218446603,427149.11193979933,349960.361322314,354791.4254664485
Angola,382477.6218644068,439379.5271100164,350756.5381543624,381735.7534353742
Antigua and Barbuda ,447738.4745333334,342331.19470486115,418204.605143824,375602.1108937605
Armenia,391267.03039801,455910.64756260434,336807.7521760797,393429.95037581696
Australia,360361.7616861436,383765.1996210873,424577.14347402594,440995.4678723404
Austria,352487.9658,440139.65459369816,360838.2730858086,411909.1879264214
Azerbaijan,344270.4297631134,377132.47104304633,382110.1157849829,419707.3587070377
Bahrain,373024.3148859935,359602.92704507516,428296.15776859503,414507.98453333334
Bangladesh,350799.52845257905,364372.6960641892,407387.5778056951,411733.8702605863
Barbados,412629.08252525254,342125.2350083195,420143.15825040126,369358.8087813022
Belarus,348297.58650165016,390973.75549488055,395873.2550675676,444842.6028983051
Belgium,343408.3772758037,416457.7171592775,393124.2670646766,412980.0372354949
Belize,430959.48349025974,379227.3061437909,426082.50490662135,362918.55119672127
Benin,376599.18312602286,441344.12113333336,363145.155879397,408585.25097039476
Bhutan,344153.0813606557,371305.36162162165,390655.5787064677,432520.494398682
Bosnia and Herzegovina,352523.63895695365,412074.84321428573,358649.72787728027,434340.665420712
Botswana,398461.72815878375,446001.6677759198,352744.4805792163,368985.9168197279
Brunei,365624.8074461028,367083.6987356322,426113.9095570698,407269.5534094617
Bulgaria,344296.53577114426,379626.49998392287,410564.2803476821,420778.98866444075
Burkina Faso,372576.95551779936,418976.7418446602,361660.9863636364,406531.2465557404
Burundi,351258.9627876823,399767.72618243244,366324.8594271686,426516.4293181818
Cambodia,409318.09995176847,341775.76193760266,436295.14510273974,408847.2840856672
Cameroon,349162.5395261438,409873.57102941175,415835.1614983165,443954.3395644891
Canada,355898.22771381575,422078.8585148515,387552.75150165014,417754.34127334465
Cape Verde,374284.8984868421,357625.57474999997,430539.7989516129,423936.89094003243
Central African Republic,376120.22037099494,328836.60352159466,435192.9884488449,393347.9643427621
Chad,393146.1213095238,344040.7080737018,444363.0524659864,359475.16582362726
China,415072.31854999997,364722.67800341296,411008.68029850745,354549.6486513158
Comoros,376258.6254214876,353733.82679054054,460997.70331632654,411995.4530327869
Costa Rica,464289.66438775515,401405.6888780488,390512.3710603589,332013.9744666667
Cote d'Ivoire,458919.63981324283,392468.89225,410025.1925628141,334492.776980198
Croatia,378989.04388609715,359860.8623355263,422683.7963754045,422978.4965619835
Cuba,420614.51657894737,394381.72862416104,347013.0084451719,350741.1220689655
Cyprus,405343.9491707317,358999.44464163826,431575.13138047134,392817.95969645865
Czech Republic,426041.9363484087,374495.32032094593,444665.3077227723,351050.602862069
Democratic Republic of the Congo,440319.10646258504,365273.9838283828,405453.4653565506,371189.8235254237
Denmark,432801.2574587459,381115.65757024795,384889.9932195122,343521.8564786325
Djibouti,424342.69268976897,419471.4096308725,370582.95421227196,364706.6025742574
Dominica,395026.12344537815,443661.20712328766,348651.0586409396,375770.23178929766
Dominican Republic,394200.5469752066,431539.6611973019,350627.9072742475,412094.94031096564
East Timor,366421.1779124579,341773.7183031301,428215.6809075631,395679.52875409834
Egypt,384630.5735526316,349218.873107438,466284.6713079471,394070.167475083
El Salvador,390838.2858892617,451129.16138047137,379755.3524878837,402467.8369269949
Equatorial Guinea,396756.06313333334,435785.3963484087,342019.25507588533,396067.38412541256
Eritrea,399509.3887064677,433643.5340809444,376600.6801650165,392896.1610810811
Estonia,412964.20424543944,380498.92172697367,428534.6771895425,347403.9743471074
Ethiopia,416375.44499999995,450054.4234596376,355273.85066445183,378236.8655065359
