,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,249188843.11,249207374.3,216452040.01,236388301.81
Albania,238946988.87,205879036.29,263015302.13,229429121.97
Algeria,241725437.14,262521938.05,210308233.71,249695917.5
Andorra,234254572.5,215531717.3,255366869.13,245071864.12
Angola,224562275.39,214329175.95,249945015.49,225428925.59
Antigua and Barbuda ,217417772.93,251574618.78,219043592.60999998,259621707.62
Armenia,236148698.51,218935442.14,261009915.65,230076296.68
Australia,250685908.96,263909293.53,221995849.72,222411770.51
Austria,249355454.55,219673571.25,249376656.54,214067266.7
Azerbaijan,218432675.52,259387340.4,223612387.74,240419668.88
Bahrain,218636661.91,262766065.68,197272021.06,238824833.87
Bangladesh,238134045.6,276809645.4,223277384.10999998,239645024.99
Barbados,209516153.15,215162240.01,244304334.1,252128514.5
Belarus,271364724.63,233585348.68,234667012.54,207591821.73
Belgium,252347174.98,251485930.6,211285544.89,213754076.11
Belize,227202312.57,214358201.69,252390580.33,246949512.17
Benin,257570875.99,211269859.17,255118679.25,219187753.76
Bhutan,225137354.24,248180514.38,215602633.01,250634512.65
Bosnia and Herzegovina,237488537.46,272185147.71,219789977.71,252953226.58
Botswana,284041772.71,237197931.43,229765104.92000002,212488990.2
Brunei,210577415.06,243245333.26,227058675.42,258846707.52
Bulgaria,232429309.3,248949554.43,211286439.0,248509343.69
Burkina Faso,250600434.82,256337040.7,231234813.27,201899199.42
Burundi,267499397.69,238920409.31,214587310.31,208441113.36
Cambodia,219597171.28,246301645.49,206783121.17,265081888.1
Cameroon,273073126.6,226435305.17,234723505.55,206528406.6
Canada,233623460.28,260561424.49,207553015.57,236731151.97
Cape Verde,261896827.15,258033169.07,214086468.08,220810949.49
Central African Republic,229498373.03,255099984.76,207255734.21,228093371.03
Chad,218570389.92,266948751.87,227947488.05,251618470.89000002
China,209690779.29,248927379.85,231227698.63,260207903.79
Comoros,207016261.44,231346452.86,228150358.26,259677702.10999998
Costa Rica,209457614.41,232528299.13,254916275.71,261795101.4
Cote d'Ivoire,213735744.33,229582152.5,247811902.57,258758093.71
Croatia,241481555.12,262225594.0,202671778.3,227138722.29
Cuba,226579153.64,212477250.89,256477905.28,251186876.77
Cyprus,228909337.22,279183833.74,204142030.67,223998559.49
Czech Republic,212212970.93,255983210.12,231555653.24,268136527.04
Democratic Republic of the Congo,212028126.75,227638341.09,241693570.38,264402292.91
Denmark,210541477.42,224440931.31,230089820.23,270323287.01
Djibouti,232737531.91,213156694.36,248883503.82,251022706.25
Dominica,230399620.48,210639926.69,258228950.7,219398239.76
Dominican Republic,257796098.9,215042216.78,247842411.97,220874138.88
East Timor,242546081.72,268129640.43,208892158.93,241686947.29
Egypt,224172058.29,264257192.86,204714642.27,243990200.48
El Salvador,269373094.32,234194658.18,232932645.7,207491369.92
Equatorial Guinea,235996246.85,199220174.98,257787535.34,237612738.81
Eritrea,244221926.06,223348104.12,248848959.8,211686953.06
Estonia,208046402.65,224788054.54,242330271.2,240112101.39
Ethiopia,279841983.23,237131528.54,244729365.37,216207980.9
Federated States of Micronesia,210081508.64,251083275.1,230129648.25,262907324.51
Fiji,226309135.31,243695676.84,223032955.62,256413367.45
Finland,231846419.9,208327872.01,268033708.0,250254399.61
France,241825422.8,209903598.3,265020765.27,247339228.57
Gabon,264263372.89000002,253142435.21,224425795.88,208327178.83
Georgia,223717264.64,211778212.52,250876574.04,246065361.6
Germany,239284551.64,209867150.93,270354074.25,229688953.31
Ghana,264106291.28,235825307.03,231942703.85,197302007.27
Greece,262793673.8,222202517.47,255985310.85999998,210909049.45
Greenland,269289698.35,241296895.14,214824248.02,218254032.8
Grenada,242708307.98,253548306.03,224977768.10999998,217324660.37
Guatemala,254928313.95,257842319.92,211305695.39000002,225216608.17
Guinea,265173349.65,257323496.86,220570822.85,224248830.0
