,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,334192.14857605175,387562.98952622677,389483.72801948054,414026.87146341463
Albania,427715.14414593694,382419.6833777038,411741.5250166113,354570.8776728499
Algeria,368679.1839865997,385038.9024394184,391592.24300330033,430471.50069491524
Andorra,454472.16625418066,388631.34305882355,378514.2317647059,362373.0785876623
Angola,434691.7065882353,439614.5205802048,381881.6328735632,362542.3549916527
Antigua and Barbuda ,393506.83759197325,335653.7996833333,440445.7798163606,405003.95951666665
Armenia,418448.86171717173,429083.1499508197,354572.339375,374235.99324873096
Australia,347501.0000510204,390813.6083554817,377744.5285807504,420922.1930272109
Austria,383752.8392753623,440604.0785191348,356941.0150083752,403130.7508862876
Azerbaijan,360846.0495602606,410068.55111666664,362149.6907894737,456352.6843551089
Bahrain,335479.8283801653,383907.55217905407,411121.6262988116,447617.510884808
Bangladesh,348585.0719669421,369459.0434223706,427959.45299307955,413618.3511853089
Barbados,391317.8317704918,358525.2267993366,436138.1693189369,412384.8619127517
Belarus,377419.64945945947,418399.9460934892,339343.2857071548,410511.6958037225
Belgium,333241.55462184874,417071.4996688742,372693.63231907896,430670.1372361809
Belize,407863.03172529314,352659.5693581081,416214.5384742952,358217.6005315615
Benin,387077.5843371522,433582.68710310967,331499.9690604027,370490.3601005025
Bhutan,378448.2934848485,399263.17755813955,418523.3307885906,447754.7998489933
Bosnia and Herzegovina,366367.9999181669,414642.65571666666,337171.39691935485,426733.26396666665
Botswana,401568.0448918469,426937.9355718954,333256.31104918034,368273.75627483445
Brunei,328626.9541326531,371972.73283557047,414607.54875409836,430079.90607082634
Bulgaria,353644.9619,427045.9498981325,398914.29576104746,440676.26126245846
Burkina Faso,423700.46423469385,434786.80263157893,354471.0576046901,382469.4539314845
Burundi,400532.84468907566,440649.4645959596,341814.5544578313,405041.36726666667
Cambodia,380130.73543513956,342289.0484768212,419695.97705592104,421348.56076923077
Cameroon,355567.11595,420991.5964676617,379153.1995932203,401691.5680844156
Canada,373323.2589212329,461840.00810810813,348447.6313213703,409016.51842905406
Cape Verde,351934.8517940199,404369.6577568493,378518.0712984823,443226.21755480603
Central African Republic,362558.1199668325,365784.43399006623,413808.5542051282,419132.90025125624
Chad,384011.74189935066,352552.22033444815,438502.54253355705,389645.8464763458
China,393446.11017006804,342046.7844093178,448061.8194789916,380955.7027195946
Comoros,393291.3588067227,353645.32924496644,414783.0830847458,418039.0063531353
Costa Rica,430463.46779661014,385160.0041068448,412494.7884516129,355279.04539629
Cote d'Ivoire,416543.91781302175,370824.88865671644,428884.8119833333,364471.6427457627
Croatia,343672.4413898305,392523.68372250424,386905.53619932436,455268.88025466894
Cuba,435762.0424784854,419608.62730392156,382545.7743311037,360027.23833333334
Cyprus,360984.1647306397,354272.67172173917,415975.72877076414,441024.1544259567
Czech Republic,374032.2993120805,338031.905614618,439404.08821311477,380705.9549
Democratic Republic of the Congo,404529.349697479,333557.90803630365,423373.10436152574,382910.14049261087
Denmark,424597.56386023294,357051.7255481728,436361.3954394693,385859.844991453
Djibouti,437140.13940199337,392017.1713509061,388834.352359736,338493.158202995
Dominica,432949.1389090909,446081.7792038216,381731.6795254237,341470.95710049424
Dominican Republic,388861.4755008489,418680.7901018676,336607.2176612903,389797.8904975124
East Timor,369765.4564909391,383593.39037828945,421049.48216171615,433863.95674536255
Egypt,350256.7829431438,349869.30391666666,416523.1922075782,388159.77620450605
El Salvador,371510.83456342673,434439.0903465347,359832.1102341137,397315.7805987055
Equatorial Guinea,449607.1808818635,422474.12798319326,369452.04750413226,360025.5642346939
Eritrea,381806.4289233279,446723.6766059603,347277.84474959614,362628.1105315614
Estonia,426996.7872408027,375288.0674304419,414312.21699029126,361842.2203960396
Ethiopia,424180.3754966887,395104.92088926176,356937.1117077176,363200.66798305087
