,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,352050.4805629139,375910.4423509934,395970.7766556837,457789.9583770492
Albania,360521.3274659864,418576.5065793781,360639.17589951376,385434.3181469648
Algeria,354247.59816225164,349654.36700826447,436454.4552622673,407755.74315878376
Andorra,358768.85720853857,410328.8933660131,357777.6893564357,425518.7998324958
Angola,364946.75185123965,427984.2577090301,362606.9587248322,411249.79303904925
Antigua and Barbuda ,433178.5736633663,375109.0635666667,418632.03842546063,367190.4624212272
Armenia,358420.52643333335,395780.3678084416,389513.9427906977,461880.29833613447
Australia,399909.6902155887,347238.7292333333,443063.24397350993,386359.7558306189
Austria,339998.58044628095,380988.4162033898,436466.6011908646,425332.9659173554
Azerbaijan,399107.7269397993,333775.8765068493,435441.08909547736,371281.825500821
Bahrain,425683.28591216216,354163.9758026756,403873.6264784053,361968.9867457627
Bangladesh,367228.6832328308,337013.5241080196,440292.2625287356,395352.72291935486
Barbados,421575.07539867115,389710.8354187192,367671.3556587838,375818.6001824212
Belarus,332625.71821070235,382125.28018965514,366979.0639285714,434345.9192026578
Belgium,336431.6220915033,389815.7572682119,403476.5067111853,437974.53139573074
Belize,412819.9377435065,435729.03026058635,354625.22030100337,367460.18047933886
Benin,389000.07524046436,442378.41417362273,354012.0411092437,413075.6824126456
Bhutan,398532.08011363633,341235.6038009788,430636.22044262296,380882.1461602671
Bosnia and Herzegovina,372898.4849916248,344679.46275803726,441526.4431301482,424504.86323920265
Botswana,340885.7496153846,425418.4195888158,371491.8490468227,442579.4540229885
Brunei,426999.62718286656,372028.7070784641,426755.30622516555,358086.491147541
Bulgaria,393959.4391118421,338148.449005059,442349.0552990033,391437.2868739496
Burkina Faso,344503.9841350906,378588.6464227642,387721.6673727422,421068.1902755268
Burundi,368421.0142975207,358161.5674030354,419736.837652027,422802.48092985316
Cambodia,460892.4099834711,386642.12137987016,383575.4256802721,336446.67641935486
Cameroon,390301.90484429064,350899.26731023105,459415.5797952218,395969.21828333335
Canada,360860.8373244147,378270.6632781457,435487.2919674797,411020.8345091514
Cape Verde,420708.0848764415,373330.2802833333,427412.1532948929,354699.119009901
Central African Republic,406126.58049586776,357330.5773300166,420945.0870098039,368990.32375000004
Chad,413003.0645379538,342285.1418760469,430138.51881556684,385734.5107993475
China,415217.68097682117,431415.5089162562,354670.4433768352,354528.25832512317
Comoros,450226.9179869067,372368.62362126244,409350.0222275641,350271.84495049505
Costa Rica,386323.5821694915,453953.10799011536,333825.88076033053,394960.37790697673
Cote d'Ivoire,385792.74672818795,462660.38208681135,338713.0908724832,376791.7644389439
Croatia,418456.6571194763,361780.39670000004,421893.91965909087,359177.8530016584
Cuba,365209.4577348993,413239.457605178,352019.236147541,427911.2238103161
Cyprus,443818.1911608624,374440.6770735786,396441.83941569284,349451.7709134616
Czech Republic,412380.747031746,402846.0183112583,386742.6104777595,344085.7166722408
Democratic Republic of the Congo,424267.5004318937,406145.2010887772,353597.341409396,363870.89945723687
Denmark,430715.0600651466,366304.53580536915,387356.6046801347,360048.30160655733
Djibouti,360857.98173109244,432118.3049588139,346201.8339297659,405526.76170103095
Dominica,342758.667019544,408293.2802631579,382826.1001650165,423319.39957166393
Dominican Republic,381254.7829215359,439053.8046655518,360681.7037333333,440261.6089368771
East Timor,367884.96008196723,333833.3962121212,427366.7261157025,398306.5990939045
Egypt,445903.4097180763,398924.16820678517,417374.5106146179,342545.702
El Salvador,336730.8711486487,408399.2754323002,379675.75317230274,421920.31147107435
Equatorial Guinea,381162.4310561056,435502.06252931326,351347.40398360655,398827.33125412546
Eritrea,395436.2653410982,435067.3329468599,351318.000515807,420592.7008346972
Estonia,419584.1560535117,412097.4832986111,385319.95042444824,356981.91847039474
Ethiopia,360490.8104651163,418243.59085570474,376366.7824459235,428332.0289579832
