,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,226858479.28,265057075.91,216280420.45,257834007.35
Albania,244282656.62,217278177.1,263883357.48,224122651.05
Algeria,209373951.51,236156294.81,235008915.59,264817066.56
Andorra,254027587.83,217018423.34,249506954.9,221251740.46
Angola,260984304.11,227575463.14,233222412.63,202050385.98
Antigua and Barbuda ,226817296.23,223420031.92,259175344.02,271638452.18
Armenia,264839605.79,244312083.28,246016663.2,201890099.49
Australia,215695898.24,261727873.56,225870576.72,252337744.76
Austria,264355071.52,251717282.27,232821316.81,220013241.86
Azerbaijan,210996979.74,242735439.67,214697349.05,243359826.75
Bahrain,221355000.17,246785062.54,230244620.23,250140236.08
Bangladesh,207598406.41,239161012.11,243039932.88,264986591.43
Barbados,223632543.9,205295150.86,243171919.6,246265186.87
Belarus,242250136.96,266513230.19,201907903.8,225868858.65
Belgium,216973223.54,270358367.35,226370810.57,242050496.83
Belize,217215951.77,220153860.05,275626358.65,235698405.79
Benin,260255178.63,255199837.23,219969955.78,222956919.06
Bhutan,200092083.86,225354744.47,235501895.8,268380396.64
Bosnia and Herzegovina,221182690.25,248151698.49,226612034.2,258965650.05
Botswana,253343810.31,263352546.22,214467793.36,246982577.66
Brunei,207630335.85,238400804.08,232322657.21,261191351.24
Bulgaria,220627724.46,263079352.2,215050257.34,245135039.13
Burkina Faso,252114264.13,248138825.67,211807589.94,219322167.05
Burundi,231639085.85,255529114.72,211642304.46,214177281.51
Cambodia,223696290.9,232631935.42,241117991.2,278452413.6
Cameroon,230817488.31,281641034.51,223315589.51,239247537.91
Canada,245942186.89,266898024.27,209366189.41,231753028.8
Cape Verde,219361934.54,256692054.48,211178315.85,264793685.82
Central African Republic,203743919.1,238656237.22,233389592.49,262752490.45
Chad,208960667.18,227361528.21,245444118.01,260113316.19
China,222505089.1,214344766.34,261509036.34,247274851.97
Comoros,236957135.56,208846991.32,271912663.58,249941832.84
Costa Rica,251347190.81,213716757.51,271243444.41,248308016.68
Cote d'Ivoire,246027877.57,219490193.66,274614983.2,233830912.94
Croatia,220713350.51,241698640.0,220142510.12,244474341.36
Cuba,249917475.48,236088180.94,249053923.15,222643209.59
Cyprus,202930348.77,239221097.82,248377257.67000002,270349688.11
Czech Republic,230636924.59,227281584.14,272634301.32,245754696.38
Democratic Republic of the Congo,225433587.98,208720100.21,253173404.41,245891444.52
Denmark,230044358.93,202817898.86,257426785.15,234630586.31
Djibouti,258138460.76,223991796.87,248914038.82,220238915.04
Dominica,257143335.32,231132628.67,240797935.32,204751171.83
Dominican Republic,270518256.36,258361065.63,226519263.68,222078844.95
East Timor,202593614.37,244685129.74,234910835.49,262931001.14000002
Egypt,212917696.66,235365004.33,247024409.32999998,266280402.04
El Salvador,242809861.44,265532551.84,202601584.93,243196569.99
Equatorial Guinea,264330230.89,234559139.06,227820274.79,216098957.67
Eritrea,262313477.8,259569608.36,225735471.22,207574896.37
Estonia,237039075.79,208471287.02,247193877.24,223002588.86
Ethiopia,254006694.79,262145203.19,201771706.69,243019030.75
Federated States of Micronesia,222012982.97,224749777.49,265047006.02,234141833.33
Fiji,219911644.59,217178585.79,241517011.08,258687519.05
Finland,258163227.68,211961645.95,263373938.28,223431799.71
France,242212162.81,211903752.3,277518616.71999997,237446961.06
Gabon,263124919.01,267216840.4,232048252.7,216935622.53
Georgia,246313085.24,213929467.98,249429540.26,211943353.41
Germany,273874688.05,230751796.28,230492009.31,205187609.86
Ghana,230452095.09,279801103.33,204203022.68,235072939.18
Greece,256999488.0,260278048.79,228618364.5,216069311.56
Greenland,233248863.43,248475078.74,206097783.52,243837070.95
Grenada,243168606.53,249423097.02,201879868.93,226692989.64
Guatemala,232653197.85,262384752.55,216310729.77,218433587.52
Guinea,215238939.0,254382437.29,216897178.1,261218429.86
