,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,465314.892294686,411037.9920763723,384954.27975490195,336196.94344497606
Albania,388416.66778290994,351030.37647619046,435302.0071951219,397344.74199519225
Algeria,409563.6489294404,423931.53488207544,359427.87471698114,365559.00705596106
Andorra,397511.4926746988,352433.6591264368,418592.0389810426,390697.43644768855
Angola,372248.94773493975,356228.08612980775,436675.0502891566,399689.46343065694
Antigua and Barbuda ,396157.1670776256,439837.4146335698,340320.3983411215,405946.7999758454
Armenia,372859.88186274515,357478.50190476194,432508.2252870813,393117.23574162676
Australia,422335.41183770885,400870.99691588787,378866.52605839417,332707.355215311
Austria,398854.9901408451,335177.8581686747,430451.2341320293,389783.2067209302
Azerbaijan,402586.58824074076,470540.0967892157,358227.62253588514,367464.5802475247
Bahrain,381483.04558823525,412851.39775362314,342447.0278672986,421975.0083863081
Bangladesh,390187.9223844282,411759.3972792363,357722.60335664335,367205.4542753623
Barbados,345974.30735849054,387691.16296208533,402671.54215496365,422629.6797862233
Belarus,428991.1117985612,353476.6902606635,401942.39495121955,354280.19727488153
Belgium,451349.05,430476.1411238532,408464.4642997543,348399.57980582525
Belize,365010.5848926014,370996.7455769231,424225.9089671362,431117.44007058826
Benin,398406.59635714284,354186.08881796687,449774.503874092,401263.0983962264
Bhutan,394973.2992180095,449064.00780788175,328807.84907363425,406126.1655764706
Bosnia and Herzegovina,410998.69346246973,414694.841749409,353399.74485714285,369819.88140142517
Botswana,416198.3015058823,332150.0483138173,400714.3339903846,350545.13821002387
Brunei,370293.9676328502,436921.36666666664,381352.8757416268,440494.44188405795
Bulgaria,410565.2016707617,437395.22026634385,347488.6313429257,380552.7753206651
Burkina Faso,426186.14875,385730.62100961537,401221.38199524936,338894.1603554502
Burundi,451304.1898564594,393162.35004784685,370814.85270531406,374222.8142757009
Cambodia,353179.26764988014,400461.4127901235,372590.83897129184,430467.5907317073
Cameroon,426396.70677339897,384858.58916461916,401883.0874271845,348167.919182243
Canada,433531.5672380953,433129.90366197185,379150.18905437354,354186.4126682692
Cape Verde,442238.9557673267,409643.54451306415,373415.4615496368,360014.26576832146
Central African Republic,388237.60322815535,413651.7160332541,358332.54668269225,366233.3940487805
Chad,397935.3067281106,478296.5189095128,353838.21252983296,395421.8897094431
China,386707.96174447174,445812.17481927713,358587.3661848341,382337.04754060326
Comoros,360007.4814117647,398000.61250608275,355038.2965952381,419967.194964539
Costa Rica,358786.3420145631,381981.42794044665,407504.37524271844,415297.7632692308
Cote d'Ivoire,338456.91791154793,414472.94239130436,383689.9915458937,439052.0713539192
Croatia,387683.1974401914,421130.82970588235,355925.2508878505,386303.9674814815
Cuba,342536.1118181818,377446.9312380953,403700.0274117647,425951.1819315403
Cyprus,431478.6244655582,471649.1485507246,360486.2546296296,397980.7622439025
Czech Republic,358214.28759036143,442587.34552058106,345215.2296705883,389038.339468599
Democratic Republic of the Congo,367831.61897619045,375521.08210653753,388310.3568345324,425122.36372881354
Denmark,364261.46233576647,416934.30275462964,360262.90499999997,414518.27587529976
Djibouti,338627.8283371824,380905.7081343283,373864.13574879227,429065.2625358852
Dominica,386454.0363744076,356666.73175059946,455753.2782660333,417192.2377230047
Dominican Republic,409769.08234597155,342588.04973933654,434812.6203365385,388273.74520581117
East Timor,412850.1105609756,439243.5912619048,372775.78976303316,384650.3670145631
Egypt,383460.56317016314,442205.7668148148,355868.71495305165,387775.3291037736
El Salvador,415359.10357819905,360763.5288997555,416857.18092457426,371683.3308591885
Equatorial Guinea,357143.55765853665,353120.8298826291,440618.77153846156,411228.7158313253
Eritrea,415351.2421212121,360241.438156682,459368.8980796253,386015.9486506024
Estonia,339864.5098122066,406016.10036407766,412931.711475,436147.5679236277
Ethiopia,413212.3372860635,330216.4669638554,401918.3378728606,357350.15601449274
