,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,206530747.82,229049726.81,239921976.46,254626525.95
Albania,257912231.92,229834229.71,247868398.06,210260530.46
Algeria,220101472.84,238339080.61,237304899.26,253978185.41
Andorra,271774355.42,231235649.12,231650709.84,223221816.41
Angola,258641565.42,257614109.06,232565914.42,217162870.64
Antigua and Barbuda ,235317088.88,201392279.81,263827022.11,243002375.71
Armenia,248558623.86,261740721.47,209906824.91,221173472.01
Australia,204330588.03,235269792.23,231557396.02,247502249.5
Austria,238310513.19,264803051.19,213093785.96,241072189.03
Azerbaijan,221559474.43,246041130.67,220187012.0,272442552.56
Bahrain,202965296.17,227273270.89000002,242150637.89000002,268122889.02
Bangladesh,210893968.54,221305967.01,247360563.82999998,247757392.36
Barbados,238703877.38,216190711.76,262555177.93,245781377.7
Belarus,223432432.48,250621567.71,203945314.71,242612412.22
Belgium,198278725.0,251911185.8,226597728.45,257110071.93
Belize,243494229.94,208774465.06,250977366.7,215646995.52
Benin,236504404.03,264919021.82,197573981.56,221182744.98
Bhutan,224798286.33,240356432.89000002,249439905.15,266861860.71
Bosnia and Herzegovina,223850847.95,248785593.43,209046266.09,256039958.38
Botswana,241342394.98,261286016.57,203286349.74,222437348.79
Brunei,193232649.03,221695748.77,252910604.74,255037384.3
Bulgaria,212186977.14,251530064.49,243736634.71,265287109.28
Burkina Faso,249135872.97,264350376.0,211619221.39,234453775.26
Burundi,238317042.59,261745781.97,198594256.14,243024820.35999998
Cambodia,231499617.88,206742585.28,255175154.05,251966439.34
Cameroon,213340269.57,253857932.67,223700387.76,247442005.94
Canada,218020783.21,273409284.8,213598398.0,242137778.91
Cape Verde,211864780.78,236151880.13,224461216.28,262833147.01
Central African Republic,218622546.34,220933798.13,242078004.21,250222341.45
Chad,236551233.01,210826227.76,261347515.35,238852903.89
China,231346312.78,205570117.43,266596782.59,225525776.01
Comoros,234008358.49,210772616.23,244722019.02,253331637.85
Costa Rica,253973446.0,230710842.46,255746768.84,210680473.92
Cote d'Ivoire,249509806.77,223607407.86,257330887.19,215038269.22
Croatia,202766740.42,231981497.08,229048077.43,268153370.47
Cuba,253177746.68,256800479.91,228762373.05,213856179.57
Cyprus,214424593.85,203706786.24,250417388.72,265055516.81
Czech Republic,222923250.39,203495207.18,268036493.81,228423572.94
Democratic Republic of the Congo,240694963.07,202136092.27,255293981.93,233192275.56
Denmark,255183135.88,214945138.78,263125921.45,225728009.32
Djibouti,263158363.92000002,237954423.01,235633617.53,203434388.08
Dominica,261934229.04,280139357.34,225221690.92,207272870.96
Dominican Republic,229039409.07,246602985.37,208696474.95,235048127.97
East Timor,224447632.09,233224781.35,255155986.19,257281326.35
Egypt,209453556.2,209921582.35,252829577.67,223968190.87
El Salvador,225507076.58,263270088.75,215179601.92,245541152.41
Equatorial Guinea,270213915.71,251372106.15,223518488.74,211695031.77
Eritrea,234047340.93,269821100.67,214964985.9,218302122.54
Estonia,255344078.77,229301009.2,256044950.1,219276385.56
Ethiopia,256204946.79999998,235482532.85,217374701.03,214288394.11
Federated States of Micronesia,229115668.77,213463360.97,289370418.87,237366221.63
Fiji,219384323.17,231242442.03,244796487.49,265534227.59
Finland,240308203.35,207518793.45,247779818.15,230547680.51
France,247577917.26,230886765.34,253251422.6,201572145.15
Gabon,251699090.76,258825927.01,213268295.99,222378563.43
Georgia,265110647.53,252485795.46,240160288.73,213325224.13
Germany,259337106.26,260356516.59,218073540.08,228084136.82
Ghana,218394680.88,249069997.71,218428997.71,256798601.61
Greece,232338648.76,264698425.16,209210875.06,225999365.54
Greenland,220455742.15,236931654.13,215499790.49,256550298.14
Grenada,255194412.11,265378778.16,204531748.23,235107832.25
Guatemala,240428285.5,275921444.25,218839824.42,232973680.3
Guinea,201810092.82,236836925.98,224907138.16,263689837.54
