,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,421486.9318300654,339106.5615141431,422679.0450983606,390334.6733448874
Albania,350352.5455536913,388328.1124590164,392404.67753670475,431673.22094684385
Algeria,447029.46316225163,379208.72966555186,416287.04884033615,352295.34907872695
Andorra,372408.60000000003,363043.74800664454,403248.80812080536,409801.9489785832
Angola,339210.3974317817,410020.64460132894,395064.17339314846,418107.2102192243
Antigua and Barbuda ,446353.35610738257,414922.5899672668,382471.7638245033,353970.99353923206
Armenia,400962.0267495854,353083.0058238173,437360.112900641,420931.1202649006
Australia,414281.4236842105,360550.27590682195,448270.29099999997,363250.8393265993
Austria,352020.9921947195,366047.4576508972,422931.7963560732,427631.421092437
Azerbaijan,428669.7371685761,405461.9347077922,394245.109480737,336599.01033333334
Bahrain,451223.6774500001,417651.2162314049,369571.88865417376,366819.0296147404
Bangladesh,431814.3111243612,379551.31362711865,401427.5880813008,353455.10646258504
Barbados,388270.7404369748,415895.67381426203,352756.6482421227,408314.7048154362
Belarus,385494.97865874367,339417.97167521366,426317.34837288136,401731.08153589314
Belgium,410211.31526755856,351550.5788758389,440575.4588006757,367976.07221854303
Belize,364358.3330016584,405892.9312199037,359382.0917147708,418598.4937806874
Benin,352573.6477198697,371146.77425742574,396805.72727879795,465584.4258123953
Bhutan,431453.3164106845,402978.82795302017,368561.1644151565,364168.9577946128
Bosnia and Herzegovina,448122.9263884157,359849.0328733766,420257.5365671642,365624.8976948052
Botswana,375207.99981636065,343935.4349,438154.44194915256,409762.4822036728
Brunei,414481.2042288557,435171.9701512605,369770.626184874,347838.90726837056
Bulgaria,448076.3782914573,388013.7416059603,382563.09309719934,333243.08
Burkina Faso,398404.7694915254,353681.79444810544,432949.14415672916,377115.8083881579
Burundi,426938.13615384616,353850.3480794702,427878.4375081967,382468.59144026187
Cambodia,396708.345728988,445781.6590359477,341584.2643278689,389422.27938640135
Cameroon,457412.73816666665,388514.64996705105,413149.0577435065,354427.7740333333
Canada,430711.1380872483,373542.1765691057,445084.137925801,365423.33865448507
Cape Verde,400023.67631493503,350427.6067774086,404654.3367330017,370866.91903119866
Central African Republic,433093.3045812808,380699.14177631575,413589.21194762684,337467.3902610114
Chad,444955.412979798,400832.8568358714,380238.1800331675,374604.70298811543
China,367956.3219495798,412454.81084437086,330491.4866556291,409730.8303789127
Comoros,419130.74830033,440780.82968227426,353238.123204698,391898.2692462312
Costa Rica,332623.9366554054,394555.71310631227,400038.57185245905,446983.88552013424
Cote d'Ivoire,345492.82313628896,403894.08467445744,395276.1743543046,450290.74245
Croatia,423144.1120294599,419506.37402337225,362725.09970491804,367731.58494915254
Cuba,371308.69904682273,386698.5950491803,390308.77047854784,441366.30268006696
Cyprus,434749.8678441128,404550.14163132134,348173.5705872757,379776.8942951907
Czech Republic,429815.9057379768,396985.76480327867,376595.69094435073,359815.8246869712
Democratic Republic of the Congo,365185.451270903,412859.6636912752,345050.5882392027,413183.780794702
Denmark,406866.1903372681,424823.0307872697,349463.7397217676,387017.3690878378
Djibouti,371667.6614096186,391049.3132295082,352749.88486042694,431270.40576411964
Dominica,346553.2533001659,398346.48352272727,381651.611907131,432312.70812606474
Dominican Republic,344351.0523873122,371102.85701188457,389957.9860535117,445976.9535966387
East Timor,427088.7268288591,379058.1553976311,395370.9761525424,346635.77584158414
Egypt,391345.4674792703,452795.26481605356,346233.1513356164,395004.60755336616
El Salvador,364772.466369637,356669.330819398,442326.0051827243,405144.3480672269
Equatorial Guinea,340242.1088474576,415554.5148739496,379815.5707846411,440895.3616946309
Eritrea,337744.4649493243,377814.652124183,399658.03607907746,437931.78018739354
Estonia,376786.3485950413,438144.27013333334,355664.3311037891,401371.1961744966
Ethiopia,381470.8052195122,356620.52614634146,435194.3650498339,434139.1937161084
