,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,257950002.28,203803043.47,257834217.51,225223106.52
Albania,208810117.15,236880148.6,240544067.33,259867279.01
Algeria,270005795.75,226766820.34,247690794.06,210320323.4
Andorra,228286471.8,218552336.3,240336289.64,248749783.03
Angola,211328077.6,246832428.05,242174338.29,247937575.66
Antigua and Barbuda ,266026600.24,253517702.47,231012945.35,212028625.13
Armenia,241780102.13,216439882.57,272912710.45,254242396.64
Australia,251883105.6,216690715.82,273444877.51,215770998.56
Austria,213324721.27,224387091.54,254182009.60999998,254440695.55
Azerbaijan,261917209.41,249764551.78,235364330.35999998,201959406.2
Bahrain,270734206.47,252678985.82,216938698.64,218990960.68
Bangladesh,253475000.63,223935275.04,246877966.67,207831602.6
Barbados,231021090.56,250785091.31,212712258.89000002,243355564.07
Belarus,227056542.43,198559513.43,251527235.54,240636917.84
Belgium,245306366.53,209524145.01,260820671.61,222257547.62
Belize,219708074.8,252871296.15,211676052.02,255763679.7
Benin,216480219.7,224914945.2,237686630.64,277953902.21
Bhutan,258440536.53,240175381.46,223716626.8,216316360.93
Bosnia and Herzegovina,263048157.79,221667004.25,253415294.55,225224936.98
Botswana,224749591.89000002,206361260.94,258511120.75,245447726.84
Brunei,249932166.15,258927322.24,220013522.58,217747155.95
Bulgaria,267501597.84,234360299.93,232215797.51,201278820.32
Burkina Faso,235058814.0,214684849.23,254141147.62,229286411.5
Burundi,260859201.19,213725610.24,261005846.88,233688309.37
Cambodia,231280965.56,272818375.33,208366401.24,234821634.47
Cameroon,274447642.9,235828392.53,254499819.57,212656664.42
Canada,256703838.3,229728438.59,263934893.79,219984849.87
Cape Verde,246414584.60999998,210957419.28,244006565.05,225857953.69
Central African Republic,263753822.49,231465078.2,252703008.5,206867510.23
Chad,264303515.31,236892218.39000002,229283622.56,220642170.06
China,218934011.56,249122705.75,199616857.94,248706614.04
Comoros,253993233.47,263586936.15,210529921.43,233963266.74
Costa Rica,196913370.5,237522539.29,244023528.83,266402395.77
Cote d'Ivoire,210405129.29,241932556.72,238746809.31,270174445.47
Croatia,258541052.45,251284318.04,221262310.82,216961635.12
Cuba,222042602.03,235886142.98,236527114.91,263495682.7
Cyprus,262154170.31,247989236.82,213430398.77,229005467.26
Czech Republic,259178991.16,242161316.53,223321244.73,212651152.39
Democratic Republic of the Congo,218380899.85999998,246064359.56,207720454.12,249563003.6
Denmark,241271650.87,253619349.38,213522344.97,229114282.5
Djibouti,224115599.83,238540081.07,214824679.88,259624784.27
Dominica,208971611.74,245381433.85,230135921.98,253767559.67
Dominican Republic,206266280.38,218579582.78,233194875.66,265356287.39000002
East Timor,254544881.19,224023369.84,233268875.93,210061280.16
Egypt,235981316.89,270771568.36,202200160.38,240557806.0
El Salvador,221052114.62,213288259.83,266280255.12,241060887.1
Equatorial Guinea,200742844.22,247254936.35,227509526.9,262773635.57
Eritrea,199944723.25,231222567.1,242592427.9,257065954.97
Estonia,227955740.9,262886562.08,215888248.98,239217232.92
Ethiopia,234604545.21,219321623.58,261987007.76,272205274.46
Federated States of Micronesia,216267535.29,251810875.38,214063698.3,245983710.65
Fiji,257259330.33,248234993.8,230109909.36,217814793.32
Finland,220058878.86,249194362.13,222297102.34,259753050.79
France,224128012.83,229127650.63,235134773.35,257841352.49
Gabon,226877582.28,208442353.11,274196393.6,231268985.94
Georgia,210661983.05,225571534.53,249697870.15,250833662.94
Germany,224103943.0,224367823.93,263251625.67,254038174.63
Ghana,274449967.33,220733766.5,245938716.78,215820177.7
Greece,217866049.48,225009793.65,261405110.96,260502717.02
Greenland,267359485.54,238509878.67,250664410.52,198647293.81
Grenada,228284281.73,205016876.57,273525740.31,236192920.2
Guatemala,266895035.55,216839906.04,260541417.92,227622578.65
Guinea,249391278.32,205420269.66,250327330.47,223249858.96
