,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,212638490.26,227049907.18,240354261.43,279251874.61
Albania,211986540.55,255750245.52,222514371.53,241281883.16
Algeria,213965549.29,211540892.04,257944583.06,241391399.95
Andorra,218490234.04,251121282.74,216813279.75,254034723.5
Angola,220792784.87,255934586.11,216113747.4,242226128.1
Antigua and Barbuda ,262506215.64,225065438.14000002,249923326.94,221415848.84
Armenia,215052315.86,243800706.57,234487393.56,274818777.51
Australia,241145543.2,208343237.54,267610199.35999998,237224890.08
Austria,205699141.17,224783165.56,267554026.53,257326444.38
Azerbaijan,238666420.71,194925111.88,259958330.19,226110631.73
Bahrain,252004505.26,211790057.53,243131923.14,213561702.18
Bangladesh,219235523.89,205915263.23,268137987.88,245118688.21
Barbados,253788195.39000002,237333898.77,217661442.55,226618615.91
Belarus,198910179.49,221632662.51,215783689.59,261476243.36
Belgium,205896152.72,235448717.39,241682427.52,266726489.62
Belize,254297081.65,267537624.58,212065881.74,222313409.19
Benin,234567045.37,264984670.09,210637164.46,248258485.13
Bhutan,245495761.35,209177425.13,262688094.47,228148405.55
Bosnia and Herzegovina,222620395.54,203705562.49,268006550.98,255551927.67
Botswana,203849678.27,258654399.11,222152125.73,269530887.5
Brunei,259188773.7,222845195.54,257760204.96,218432759.6
Bulgaria,239527338.98,200522030.26,266294131.29,232905185.69
Burkina Faso,209113918.37,232832017.55,236122495.43,259799073.4
Burundi,222894713.65,212389809.47,248484207.89,259177920.81
Cambodia,278839908.04,238171546.77,225542350.3,208596939.38
Cameroon,225594501.0,212644955.99,269217529.76,237581530.97
Canada,215794780.72,228475480.62,267824684.56,247023521.54
Cape Verde,255369807.52,223998168.17,259439177.05,214947666.12
Central African Republic,245706581.2,215470338.13,257618393.25,227298039.43
Chad,250279857.11,204344229.7,254211864.62,236455255.12
China,250791479.31,262732044.93,217412981.79,215907709.32
Comoros,275088646.89,224165911.42,255434413.87,212264738.04
Costa Rica,227930913.48,275549536.55,201964657.85999998,237766147.5
Cote d'Ivoire,229932477.05,277133568.87,201873002.16,228335809.25
Croatia,255677017.5,217068238.02,259886654.51,216584245.36
Cuba,217664836.81,255381984.8,214731734.05,257174645.51
Cyprus,267622369.27,223915524.89,237468661.81,218057905.05
Czech Republic,259799870.63,243318995.06,234752764.56,205763258.57
Democratic Republic of the Congo,255409035.26,242468685.05,210744015.48,221233506.87
Denmark,264459046.88,218317503.34,230089823.18,219629463.98
Djibouti,214710499.13,262295811.11,207028696.69,236016575.31
Dominica,210453821.55,248242314.4,231992616.7,256954875.54
Dominican Republic,228371614.97,262554175.19,216409022.24,265037488.58
East Timor,224409825.65,198297037.35,258556869.3,241772105.65
Egypt,268879756.06,246934060.12,251259455.39,203814692.69
El Salvador,199344675.72,250348755.84,235778642.72,255261788.44
Equatorial Guinea,230984433.22,259994731.33,214321916.43,241689362.74
Eritrea,237657195.47,270176813.76,211142118.31,256982140.21
Estonia,250911325.32,237368150.38,226953450.8,217045006.43
Ethiopia,217015467.9,249273180.15,226196436.25,254857557.23
Federated States of Micronesia,243083916.31,248443060.07,216103594.98,199261340.57
Fiji,240387820.99,200849911.03,256710092.86,223252750.52
Finland,245415089.96,268422765.22,213117942.96,236539570.49
France,229667492.23,250233915.28,206535647.27,242892759.43
Gabon,195795308.98,237706615.26,241474712.33,264986441.0
Georgia,211065325.01,248210042.46,217177027.14000002,257127827.35999998
Germany,212315483.83,232138323.09,233830841.36,285514387.05
Ghana,234370294.4,218690303.8,261765665.07,237523188.03
Greece,201983674.31,227106144.12,265521464.66,264720224.16
Greenland,237050335.95,210823162.03,271012822.0,234627862.87
Grenada,203269925.29,219931811.4,239780038.21,268601657.57
Guatemala,226586147.87,217761121.14,255187169.95,249379585.71
Guinea,252058927.77,227657511.62,262648060.68,209780274.54
