,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,220349947.84,227753171.96,246037271.10999998,273667108.04
Albania,254973757.77,248354364.6,230540036.54,203467714.23
Algeria,204968437.12,245335421.13,232135246.67,272890265.53
Andorra,262246280.49,255435168.94,211726018.6,216777560.96
Angola,225661796.9,267582132.01,209050896.74,224460623.02
Antigua and Barbuda ,268643084.72,197182768.15,247158921.64,222732051.76
Armenia,235934019.33,273090477.89,202758266.81,240779129.63
Australia,215856695.25,232945476.17,261539520.38,269448230.87
Austria,211492779.48,265404211.72,218667993.49,246321694.38
Azerbaijan,203463823.99,227788012.51,223916527.85,256441196.17000002
Bahrain,229036929.34,215402153.3,259119175.45,248704790.72
Bangladesh,210830516.6,215708636.07,243210383.95,252804596.34
Barbados,245101675.02,205617266.24,261749187.59,221245926.46
Belarus,211068337.42,229110620.72,234356967.0,262457135.71
Belgium,202954350.97,253622749.75,237053933.04,242006301.82
Belize,265471041.83,232087111.36,250962595.39,221380316.23
Benin,230102100.89,264806472.68,216797658.06,248419832.59
Bhutan,209933379.63,219812774.08,235565313.96,262539940.1
Bosnia and Herzegovina,212924277.93,242300007.81,216265785.91,268422531.23
Botswana,235889343.07,266708997.33,207061010.1,216963719.09
Brunei,220471758.89,223553972.53,250128864.91,249656236.24
Bulgaria,207610811.07,236127682.99,247980825.33,252046614.21
Burkina Faso,230252558.51,258927626.46,214826625.9,244325279.18
Burundi,216726780.04,236662493.9,223824489.11,262734120.46
Cambodia,254595858.17,208141439.02,254796364.74,248170301.44
Cameroon,213687474.19,250842625.47,247006085.93,265040740.72
Canada,216386122.45,255779788.26,234856967.41,246057307.01
Cape Verde,227565218.28,214575344.85,266934675.35,261569061.71
Central African Republic,223039290.68,197959635.32,263726951.0,236402126.57
Chad,231169919.33,205392302.72,261285474.85,216044574.66
China,249043391.13,213727489.31,247838234.22,215566186.38
Comoros,227636468.38,209410425.46,271066649.55,251317226.35
Costa Rica,273002322.66,246864498.66,239384083.46,199208384.68
Cote d'Ivoire,270303667.85,235481335.35,244785039.96,202702622.85
Croatia,226256459.2,218795404.3,261218586.16,255901990.42000002
Cuba,255733626.08,235051510.26,212024948.16,213601343.34
Cyprus,249286528.74,210373674.56,256355628.04,232941050.1
Czech Republic,254347036.0,221701229.63,269467176.48,203609349.66
Democratic Republic of the Congo,258907634.6,221356034.2,244488439.61,219001995.88
Denmark,262277562.02,230574972.83,236707345.83,200960286.04
Djibouti,257151671.77,250004960.14000002,223461521.39,221012201.16
Dominica,235040543.45,259098144.96,207796030.95,224710598.60999998
Dominican Republic,238491330.92,255903019.09,209675488.55,251790008.53
East Timor,217654179.68,207456647.01,254788330.14000002,241364512.54
Egypt,233855388.72,211277418.23,281635941.47,237230240.82
El Salvador,232939618.39,267970721.85999998,235068563.19,237053555.95
Equatorial Guinea,238053637.88,260163881.62,202817418.26,240016834.78
Eritrea,240904161.39000002,257150615.71,228220012.18,232594527.36
Estonia,249017415.16,231343344.41,262263222.44,210179404.48
Ethiopia,248992516.10999998,273183035.04,213874858.1,231480961.69
Federated States of Micronesia,254757144.23,224363774.1,259603530.62,217716872.88
Fiji,205533201.24,224168378.17,235672593.57,260703927.33
Finland,266436447.12,214491201.3,248543074.38,214677244.4
France,264704705.76,247372985.85,231792158.23,196882833.88
Gabon,223307735.85999998,252900453.41,216738114.73,238349059.45
Georgia,245814456.75,243938322.31,209593587.25,207296838.69
Germany,243034172.29,269762045.87,195837886.03,237343627.51
Ghana,211285770.27,234649403.02,239800613.55,253225563.25
Greece,220042843.09,268151629.82,225975767.24,254524813.82
Greenland,214564429.52,235535239.53,241970312.61,266662272.45
Grenada,218997648.32,246198360.07,206094187.92,237965285.87
Guatemala,218917227.0,264612169.67,233204023.87,252358364.43
