,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,423582.51983221475,358605.0437788779,397325.0246039604,355011.1662686567
Albania,345462.75031772576,361992.6069023569,435195.9317597292,426353.22485617595
Algeria,439917.9989018303,395565.06869782973,393982.5844684385,339328.48719008267
Andorra,378338.3236195286,332486.54542429285,444880.0867056856,386948.2727906977
Angola,342424.8317706577,397178.2176537217,405106.9383584589,443483.67666666664
Antigua and Barbuda ,402274.97736666666,421296.9859766277,339795.88490033225,386990.69616666663
Armenia,343486.0021381579,352829.8393934426,419099.192530541,416062.9765008292
Australia,413093.58376470587,384095.2276252019,414593.7280066445,339294.90924528305
Austria,374824.78131313133,345163.5296869852,431248.57509740256,425010.9117961165
Azerbaijan,413919.59437288134,431338.481704918,369960.05104377103,362015.10571900825
Bahrain,402319.9854726368,444760.8094545454,342021.8879276316,399346.8980512821
Bangladesh,457010.9448608838,402523.4278151261,390991.4422295082,340283.09282094595
Barbados,347831.70087030716,419020.5202605863,367082.4398831386,433791.69371900824
Belarus,413760.746417657,331264.587245409,442029.5668490879,395468.4167051071
Belgium,424753.2187006579,373798.7362248322,422315.3291927512,336074.6130782313
Belize,345663.04086601303,388050.8405704698,399365.6458181818,441375.02412457915
Benin,376722.71735294117,347970.7891816694,420568.08798333333,412155.659180602
Bhutan,437962.94384745765,432123.57805324456,356293.915124792,360966.97331103677
Bosnia and Herzegovina,444309.2335058431,389471.36604340567,382104.6865494137,342760.80370184255
Botswana,397087.51597359736,356213.22356418916,441432.59410684474,392830.5345304778
Brunei,375852.5906677796,438245.52750421583,339423.52588333335,385575.55508090614
Bulgaria,423013.2613420622,420546.4664392679,374264.96703150915,360249.2193924466
Burkina Faso,424016.8486310518,376300.1797019867,430361.52781666664,357072.94020168064
Burundi,426922.797384106,384307.2626430976,381771.1331810491,349359.1337037037
Cambodia,364376.965902439,420483.12645270274,371354.28308347525,421550.66732558137
Cameroon,401794.8198006645,399852.09301507537,381981.8039078498,360372.0323599321
Canada,421358.52661237784,377497.1572681281,385117.93471890973,337547.0638308458
Cape Verde,437429.26167785237,377882.834548495,401013.2887628866,357174.8533779264
Central African Republic,442374.0129783694,425402.23040066776,377394.66081666667,336914.0629605263
Chad,402889.0798387097,416090.5629605263,347713.0756354515,363469.9514820847
China,374125.90834710747,452457.277815534,358725.43481848185,393730.0211092715
Comoros,379486.180519263,435971.2789413681,332675.21993410215,392520.7826333333
Costa Rica,335028.41843071784,373745.0614621849,415106.1626622296,426706.7504523425
Cote d'Ivoire,349158.23264900665,411117.793946932,372879.7147471452,411414.6342439862
Croatia,410883.3349016393,452002.4571189279,362324.8786271186,388336.96581787517
Cuba,330293.9502614379,399839.17976666667,403596.7050671141,448773.1705709625
Cyprus,418367.44458471757,402579.2871732026,361736.8830016313,349169.0647761194
Czech Republic,405545.20788778877,429218.2719467554,354064.3844186046,380979.63752052543
Democratic Republic of the Congo,330527.7394472362,400858.08758957655,399428.5463218391,456610.0940709459
Denmark,378358.2491089109,439344.7224546952,341137.66098471987,409299.0187458194
Djibouti,357566.666284779,391076.81306930695,373936.0470994941,438682.21726210346
Dominica,340503.6067868853,374743.8121166667,420061.22564569535,435649.85698205547
Dominican Republic,385749.83815566835,354153.97190954775,419899.0234703948,401431.149460371
East Timor,462964.88688311685,384860.5833993399,380011.5650819672,345194.119460371
Egypt,371521.8781802721,427359.5457096248,384352.89919463085,381609.2445203252
El Salvador,399901.2939455782,368706.7226600985,453971.88781609194,389998.92137417215
Equatorial Guinea,345782.7525785124,391280.9228903655,414284.10520729685,431394.4096039604
Eritrea,378517.3371790541,348281.449047619,435573.21159592527,406942.22889816365
Estonia,353677.80533884297,418736.5374257426,384098.3124747475,440035.33198019804
Ethiopia,394214.778909396,354932.0292359932,414933.2719180328,394999.22646481177
