,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,381453.68570957094,442771.75025,336319.75310517533,396544.8618729097
Albania,391272.3130016584,378441.8540163934,413324.67955,367954.96159733774
Algeria,369077.9047342193,425565.5448241206,355625.42067768594,407938.288909396
Andorra,424649.7817003367,332453.37317355373,447005.1982843138,380184.8898823529
Angola,414540.9016302521,384387.1424149109,449365.2113461538,366027.9092561983
Antigua and Barbuda ,347961.48879598663,372063.179198036,380962.0811538462,425744.59202970297
Armenia,431327.1821967213,392555.90629815747,404265.4985524126,343361.791001642
Australia,372633.2003814262,435822.1115462185,343537.7111237785,388599.9946393442
Austria,428552.9132392027,392139.1348086523,391660.0145317726,345147.9865245902
Azerbaijan,346376.1160166667,431647.3583471074,380022.6765231788,422166.7707705193
Bahrain,378172.237319933,456133.9764542483,355481.66445182724,410940.73661812296
Bangladesh,369011.80556302523,437296.2495805369,354706.3836593592,399201.56034313724
Barbados,396964.29552941176,352527.7103911565,456132.99699834164,417600.18495826377
Belarus,444375.24991568294,412551.70031613973,360376.9602106969,371911.6637936772
Belgium,394331.6754013378,463753.16789386404,334922.71840871027,372150.90927710844
Belize,348624.201895093,374063.4667647059,431500.63936877076,415026.3385785124
Benin,450796.706502463,382374.3156905158,404889.2202013423,337540.22425
Bhutan,338558.21959183674,405944.6082866557,380132.9728046745,461579.4778631052
Bosnia and Herzegovina,366172.09152066114,428685.8749339934,348939.18482200644,393300.6771380471
Botswana,423717.4014700855,388015.29787479405,354038.28400656814,350913.6613122924
Brunei,332221.1250590219,415706.6124630542,397188.7771953255,429687.7385385879
Bulgaria,375191.5501168615,435243.25995090016,358034.03437398374,378839.63511945395
Burkina Faso,403736.06412353925,440481.59363036306,361226.7392307692,368439.1229304636
Burundi,432054.03719063546,411193.92008250824,386142.13701986754,352028.807312187
Cambodia,345822.043946932,398066.62449324323,365511.43545901636,434102.43054635765
Cameroon,395682.3590743802,433001.7405804312,358798.494490818,375574.0660327869
Canada,406925.97237936774,436619.867783418,374620.14167213114,362950.5040765391
Cape Verde,391018.3231418919,420677.0351085142,345911.6522295082,405753.3256187291
Central African Republic,366876.31761513156,434365.38352253754,378132.7147861842,432905.4198679868
Chad,342606.66852159466,392620.4755315615,406005.64093802345,428035.64845
China,329148.1842200328,403576.8578260869,394614.11067741935,427209.28496012755
Comoros,378405.6180504202,357589.7237846656,399188.9025876461,428534.1147892074
Costa Rica,380282.8678912685,341178.9940131579,429306.42011666665,406371.1467149759
Cote d'Ivoire,362292.51650974026,348352.00370247936,429040.2081622516,394699.51645868464
Croatia,404791.06024875626,441492.8252006689,352419.3556134454,421195.49117549666
Cuba,395658.8757595994,332499.171815126,436789.2851006711,389528.28195
Cyprus,353351.43091362127,416019.1023979592,371619.89405723906,417138.3055311973
Czech Republic,339393.693553719,382527.4098187809,388419.64681666665,420090.3913220339
Democratic Republic of the Congo,338883.9469712352,378304.36548013246,415408.9660099338,468932.59320388356
Denmark,389150.03425385937,376953.7384039088,416045.0607370184,433939.7298504983
Djibouti,396400.1904738562,336747.68460032623,431490.74669449084,386532.1057214765
Dominica,429166.927093596,364842.5924703892,445073.8238552189,358538.2520957096
Dominican Republic,458617.46382003394,393955.2628641571,394926.03053601336,342922.46363484085
East Timor,364059.32892384107,423752.71624382207,354768.3331063123,416842.2092244224
Egypt,349104.14877483447,414911.3381107492,379420.7321452145,433745.8297495827
El Salvador,411142.3380532446,419226.0049093904,370401.0596101695,346640.1316139767
Equatorial Guinea,421956.6060862355,372995.70082910324,431227.53223367693,369249.6283806344
Eritrea,439861.71437185927,395348.3937479542,407995.3348571429,332948.2024625624
Estonia,405377.58066115703,354458.46124161076,447777.72895,409948.7946329527
Ethiopia,435559.8350664452,396570.69326699834,358543.2412396694,352635.95432343235
