,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,252455181.82,217314656.53,240778964.91,214071733.26
Albania,206586724.69,215023608.5,257200795.67,251974755.89
Algeria,264390717.34,236943476.15,237177515.85,205293734.75
Andorra,224732964.23,199824413.8,266038291.85,232942860.22
Angola,203057925.24,245456138.51,241848842.2,270081559.09
Antigua and Barbuda ,241364986.42,252356894.6,204557122.71,232194417.7
Armenia,208839489.3,215226202.03,240143837.32,250885974.83
Australia,245790682.34,237754945.9,249585424.26,197808932.09
Austria,222645920.1,209514262.52,265649122.26,262656743.49
Azerbaijan,244212560.68,263116473.84,219756270.32,219019138.96
Bahrain,242598951.24,269080289.71999997,207949307.86,233617935.36
Bangladesh,279233687.31,239501439.55,238504779.76,201447590.95
Barbados,203829376.71,257278599.44,219882381.49,262443974.7
Belarus,243705079.64,198427487.76,266543828.81,240049328.94
Belgium,258249956.97,222784046.79,256345404.82,197611872.49
Belize,211545781.01,231278300.98,241616215.72,262176764.33
Benin,230554303.02,212610152.19,252340852.79,246469084.19
Bhutan,258398136.87,259706270.41,214132642.99,215858250.04
Bosnia and Herzegovina,266141230.87,233293348.26,228116497.87,204628199.81
Botswana,240635034.68,210878228.35,264418123.87,238448134.46
Brunei,225135701.81,259879597.81,203654115.53,238285693.04
Bulgaria,258461102.68,252748426.33,225681775.12,219391774.60999998
Burkina Faso,253986092.33,227285308.54,258216916.69,212458399.42
Burundi,257861369.62,228278514.01,225626739.71,207519325.42
Cambodia,224091834.03,248926010.86,217984964.17,253773501.73
Cameroon,241880481.52,238711699.53,223841337.09,212259127.06
Canada,258714135.34,223855814.26,226064227.68,203540879.49
Cape Verde,260707839.96,225973935.06,233389734.06,213590562.32
Central African Republic,265866781.8,254815936.01,226436796.49,204843750.28
Chad,249791229.5,252983062.28,207932419.23,223170550.21
China,226346174.55,279618597.69,217387613.5,237812932.75
Comoros,226553249.77,267686365.27,201933858.5,235512469.57999998
Costa Rica,200682022.64,222378311.57,249478803.76,264131478.53
Cote d'Ivoire,210891572.52,247904029.75,228575265.14,239443317.13
Croatia,250638834.29,269845466.9,213771678.39,230283820.73
Cuba,202139897.56,239903507.85999998,240543636.22,275097953.56
Cyprus,251857201.64,246378523.75,221744709.28,210548946.06
Czech Republic,245760395.98,257960181.44,213146759.42,232016599.25
Democratic Republic of the Congo,197325060.45,246126865.78,243251984.71,270313175.69
Denmark,229285098.96,266682246.53,200930082.32,244760813.21
Djibouti,218473233.1,236992548.72,221744075.93,262770648.14
Dominica,207707200.14000002,224846287.27,253716980.29,267053362.33
Dominican Republic,227978154.35,211429921.23,255298606.27,238048671.63
East Timor,285186370.32,233225513.54,231807054.7,204700112.84
Egypt,218454864.37,261971401.52,229074327.92,234689685.38
El Salvador,235141960.84,224542394.1,276468879.68,235559348.51
Equatorial Guinea,209198565.31,235551115.58,249813315.44,261425012.22
Eritrea,224082263.61,204789492.04,256552621.63,243758395.11
Estonia,213975072.23,253754341.68,228154397.61,266661411.18
Ethiopia,234952008.23,209054965.22,253109295.87,241344527.37
Federated States of Micronesia,219799241.0,253691836.6,219872393.48,249927604.87
Fiji,259501573.04,259244476.21,212128658.71,223808577.52
Finland,207928567.99,221368000.45,242519342.33,261798661.94
France,218282199.7,216695185.42,252823218.08,263620064.78
Gabon,257344584.41,230810116.63,263650708.36,215132943.7
Georgia,214925636.49,211322638.49,272415771.68,245497969.55
Germany,211397298.08,222512770.81,248741319.15,253143880.4
Ghana,255954407.68,233579935.69,248703443.47,202204454.67
Greece,227196613.0,209403315.54,259548202.06,246782907.26
Greenland,250051843.56,259637582.55,223004487.19,220504973.12
Grenada,250564158.91,215882013.69,256536694.07,210434830.06
Guatemala,265109083.54,236520863.94,220532287.64,216866464.32
Guinea,279139146.31,226238616.53,246452053.07,211862555.46
