,Total Profit,Total Profit,Total Profit,Total Profit
Order Priority,C,H,L,M
Country,,,,
Afghanistan,414623.69901830284,418835.9231932773,360153.1447753744,384371.22245528456
Albania,400246.2125125628,344856.00718592963,437629.4544592346,378595.91084158415
Algeria,398229.71522240527,439735.23961474036,346471.55471169687,400153.7139423077
Andorra,387197.64049586776,353330.68409836065,425611.44855,407096.1198006645
Angola,374895.284457429,345692.2192741935,419370.8313590604,370162.43939244666
Antigua and Barbuda ,370388.0288415673,417898.03784053156,360862.59079077427,432702.84603333334
Armenia,393581.16418333334,363077.01847429515,440895.1277871622,380921.0209933775
Australia,421320.855394958,436213.7083140496,375627.4952961083,363417.9256699346
Austria,423353.91264855687,366122.61875,411512.6345544554,362211.95719120133
Azerbaijan,362243.24298507464,425225.14819672133,364783.66678629693,400032.726921797
Bahrain,375020.0032761578,421099.46423076926,334927.03066213924,405475.09994906624
Bangladesh,396229.6931780366,454531.4374384236,372128.9735166666,394153.00162828946
Barbados,340123.6252435065,365922.1768877551,397242.8196747967,428789.9906462585
Belarus,450024.41895522387,395907.3706440678,384700.020557377,348308.4257214765
Belgium,417102.7685619835,417057.928026534,363658.424939759,350991.9147947455
Belize,381852.6261680672,349687.11531810765,419253.4556976744,406836.09912685334
Benin,416108.0387560582,347483.3210032894,426619.8649665552,367148.6662646566
Bhutan,369683.6687027915,404202.7921498371,356958.00167218543,417724.18775
Bosnia and Herzegovina,395814.2291,444021.4481402936,362689.7321947195,414677.4206229508
Botswana,469490.53340495867,392062.69657851243,390093.5567402377,351221.47140495863
Brunei,348061.8430743802,402724.0616887417,380970.93191275164,431411.1792
Bulgaria,381031.65459016396,419106.993989899,348657.4900990099,421202.277440678
Burkina Faso,422597.697841484,429375.27755443886,381575.59945544554,338757.0460067114
Burundi,448824.49276845634,394909.7674545455,357050.4331281198,351502.7206745363
Cambodia,364779.3542857143,409819.70963394345,345213.891769616,438877.29817880795
Cameroon,444744.5058631922,393800.53073043475,393831.38515100675,344214.011
Canada,403494.7500518135,431393.08690397354,345921.69261666667,381209.5844927536
Cape Verde,437954.560451505,424396.65965460526,349814.4903267974,366187.3125870647
Central African Republic,383135.84813021705,435324.2060750853,346002.89517529216,380155.6183833333
Chad,366728.842147651,437620.90470491804,382462.2282718121,422888.1863697479
China,346024.3882673267,417663.3890100671,392576.73791171476,435859.1353266332
Comoros,347342.72053691273,384935.86166389356,384739.22134907247,434971.0253098827
Costa Rica,350850.27539363486,384344.2960826446,414498.0092845529,439991.76705882355
Cote d'Ivoire,355633.5180199667,385204.9538590604,408256.841136738,428407.4399172186
Croatia,402469.25853333337,425000.96272285254,340624.8374789916,382388.4213636363
Cuba,381446.38659932656,355313.1285785953,436186.9137414966,417253.9481229236
Cyprus,377115.87680395384,455438.5542251224,336868.0374092409,380303.1570288625
Czech Republic,361521.24519591144,435345.59544217685,380848.11388157896,443200.8711404959
Democratic Republic of the Congo,356349.79285714286,381303.753919598,394279.88642740616,434158.1164367816
Denmark,343460.811451876,374692.7066944908,375963.7585457516,455857.1450421585
Djibouti,389845.11207705195,358246.5451428572,420411.32402027026,430570.6796740995
Dominica,387878.1489562289,349319.94475953566,433270.0515100671,368117.8519463087
Dominican Republic,423310.507224959,353107.0883087028,416541.86885714286,366900.56292358803
East Timor,393743.63915584417,447628.7820200334,349903.11378559464,399482.5575041322
Egypt,369311.4634102142,442641.8640871022,348154.1535204082,414949.32054421765
El Salvador,448955.1572,390976.05706176965,394133.07225042296,333587.41144694533
Equatorial Guinea,393327.0780833333,328204.571630972,430363.16417362273,390168.7008374384
Eritrea,407716.0702170284,368561.22792079207,421777.8979661017,352811.5884333333
Estonia,347903.68336120405,380352.03813874786,405234.56722408027,389160.6181361426
Ethiopia,469533.52890939603,383707.97498381877,403843.83724422444,358553.8655058043
